,user,comment_karma,post_karma,total_karma,total_interactions,cake_day,interest_in-anti-fur/vegan
7,Avendryl,11763,108,11899,[105],6/20/21 4:39,64
14,CrowFromHeaven,22782,,23706,[156],2/3/14 13:35,50
40,Saltyseabanshee,16994,,17119,[102],1/4/23 5:38,45
54,asdf352343,10574,50,10686,[111],6/19/22 7:33,45
41,Sashka-the-Great,6641,96,7331,[122],12/8/21 19:39,43
51,aaronbrowning79,1430,351,4582,[171],7/4/18 18:33,40
11,Carolbilly,204,,205,[100],3/11/20 18:49,31
8,BRD2004,9858,140,10195,[142],3/1/22 2:33,30
45,TL_Exp,10866,128,11026,[110],3/5/22 15:20,28
68,iwnguom,21652,591,25197,[100],1/30/19 2:00,28
27,Kholtien,22030,124,26079,[176],1/28/14 22:46,26
44,T8ertotsandchocolate,21151,224,24817,[120],4/4/21 20:08,25
74,lunchvic,46445,2219,57206,[137],1/27/20 23:19,25
90,thislittleplace,1171,68,2515,[110],8/2/20 19:44,25
66,greysandblues,1667,63,2726,[200],7/2/19 20:53,24
78,papayanosotros,10209,478,20030,[165],4/8/20 3:53,24
10,CallumVW05,2447,106,3405,[171],3/9/20 9:04,23
30,LordCads,68441,991,76681,[177],10/16/18 14:34,23
17,DriveByStoning,388612,1717,416173,[200],12/26/10 3:44,17
28,LeClassyGent,66097,328,67897,[159],3/25/13 10:44,17
9,BonnieJan21,8261,81,11998,[156],11/24/19 5:52,15
56,awesomeideas,104209,341,120325,[200],9/25/09 0:48,15
89,thegrumpypanda101,7307,289,8891,[146],7/29/20 5:06,14
42,Senpaii_Lover,212,28,241,[101],11/5/21 18:03,13
43,Sure-Resolve-2959,13,,41,[20],11/16/21 21:47,10
64,gardenferret44,1814,,1923,[112],10/31/19 2:30,10
72,lilfoley81,5297,187,6594,[200],8/3/20 2:44,10
31,MBM_team,1861,970,8315,[200],3/18/22 10:07,8
83,scubawankenobi,61571,1088,64463,[200],5/11/16 4:57,6
86,sloppystayke,4771,,5584,[266],7/3/22 14:41,6
2,About400,43393,160,44811,[143],3/22/18 20:27,5
25,Insufficient_memory_,56,,57,[101],2/10/22 5:41,5
33,No-Commission-12,1659,18,1855,[112],5/10/22 1:10,5
71,kliq-klaq-,11078,189,12920,[111],11/12/20 18:05,5
73,loveinthetimeofmoth,5069,463,9031,[152],1/13/21 1:30,5
77,oooblik,8966,85,16897,[200],6/27/12 23:51,5
88,sunkized,12066,1658,23233,[161],9/10/20 21:04,5
13,Corporation_tshirt,225811,1236,235526,[161],3/29/14 9:25,4
26,Interesting_Side_811,170,,483,[103],1/22/21 5:23,4
35,Numerous-Macaroon224,12679,2568,74643,[200],1/24/22 3:23,4
38,Runtyraven,1650,119,3746,[134],10/22/21 8:47,4
63,freexminds,3456,319,11766,[181],1/10/19 18:52,4
93,yungbc2000,1452,,2234,[121],2/8/21 18:08,4
5,Argument-Cautious,1356,,1357,[102],3/23/21 20:31,3
47,Vegetable-Weakness34,-4,,4,[14],5/9/21 8:21,3
48,Video_Swimming,8,,9,[5],12/23/20 11:34,3
55,ashabot,9437,453,34444,[200],4/10/07 2:54,3
65,ghhouull,9315,68,9384,[100],6/30/18 21:15,3
81,petter2398,2240,,2810,[104],2/3/21 16:22,3
85,shrug666,3367,274,4689,[109],5/14/19 22:45,3
4,Altruistic_Stick7895,148,,149,[44],7/21/21 8:35,2
12,Conference_Alone,1,,2,[3],8/1/20 3:53,2
18,Faberjay,3853,,3935,[100],4/23/16 1:33,2
22,HoneydewHaunting,4396,364,42610,[200],7/7/20 18:03,2
29,LonelyContext,11801,1517,26766,[200],11/30/18 10:30,2
39,Sad009933,4629,,5239,[117],9/8/21 23:17,2
46,TheWhyteMaN,197727,3751,278531,[200],8/8/12 20:34,2
49,Waffle-Saurus-Rex,1895,35,2351,[159],5/6/22 23:20,2
60,chidyavanhumugomo,2694,49,23038,[156],2/22/17 21:03,2
70,kelvin400,2128,4293,224547,[200],4/12/19 6:12,2
84,shrapnel2176,11788,226,13785,[200],7/3/20 17:44,2
91,w0ke_brrr_4444,27033,114,28219,[111],4/17/20 20:39,2
0,-one-eye-open-,5737,53,7287,[159],11/12/19 20:13,1
6,Artistic-Salad-4130,116,,117,[100],7/9/21 16:47,1
24,Infinite-Ad9624,2,,3,[6],4/3/22 15:44,1
32,MINKIN2,90977,801,127699,[200],5/31/14 2:36,1
50,WilliamtheBard,1352,,1486,[144],11/13/12 4:13,1
67,impatientescapism,255,,256,[62],1/2/23 20:42,1
75,npcgoat,27510,268,38339,[200],10/9/20 17:32,1
76,oergeest,9101,231,14894,[118],11/27/21 11:28,1
87,storiastone,227,,838,[80],11/24/14 5:05,1
1,ABBBS2000,7383,84,8139,[111],5/29/20 1:21,
3,Admirable_Jacket8393,644,,645,[100],10/12/21 13:07,
15,DoctorsAreTerrible,2196,,2303,[112],8/22/22 22:25,
16,DonManuel,348061,1604,570652,[200],2/27/09 10:53,
19,FlameanatorX,3495,,3575,[103],4/15/14 2:32,
20,GTAmaniac1,11921,51,12550,[129],2/21/19 13:04,
21,HnuKei31,3331,70,3402,[101],7/10/22 5:39,
23,IWearCardigansAllDay,7531,71,7815,[143],3/25/16 0:24,
34,NotcrAzy31,1370,,1371,[100],10/22/21 11:16,
36,Puffin_fan,102257,1613,362851,[200],8/5/14 7:03,
37,Responsible-Coast383,1209,,1296,[104],1/12/22 2:27,
52,abletofable,18630,396,20248,[104],10/4/21 20:02,
53,aquarionboi,1546,35,1700,[100],5/25/19 20:53,
57,awesomerest,31661,53,31965,[112],10/30/10 6:59,
58,boomshakala101,1664,139,6245,[121],1/14/20 23:43,
59,cayenne4,3522,,4444,[140],3/25/19 21:38,
61,cowlinator,169197,2297,222233,[200],12/18/14 23:05,
62,dustwanders,23782,968,34880,[200],7/9/17 9:10,
69,jonteae,743,,748,[101],5/11/18 20:08,
79,peggopanic,14234,2836,48340,[200],5/9/20 2:44,
80,pensivemindtime,6310,15,6398,[105],11/8/19 3:55,
82,pigpaydirt,3496,70,3567,[100],9/9/19 22:10,
92,wildmonster91,15668,203,16494,[134],11/30/20 4:13,
